date,headline,source,summary
2024-11-07,Intimation of Conference call with Analyst(s) & Investor(s) on Q2 FY'25 Financial Results,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-11-08,Intimation regarding  Reduction in Size of Non- convertible Debenture - Credit Rating,BSE,Announcement under Regulation 30 (LODR)-Credit Rating
2024-11-08,Completion of Tenure of Independent Directors,BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2024-11-10,Schedule of Analyst / Institutional Investor Meeting,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-11-11,"Press Release titled ""ONGC declares results for Q2 FY 25"" dated 11.11.2024",BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-11-11,The Board has declared 1st Interim Dividend at the rate of Rs. 6 per equity share for FY 2024-25.,BSE,Corporate Action-Board approves Dividend
2024-11-11,Financial Results for the quarter and half year ended 30.09.2024.,BSE,Financial Results For The Quarter And Half Year Ended 30.09.2024
2024-11-12,Link for Audio Recording of Conference call with Analyst(s) & Investor(s),BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-11-18,"Incorporation of Joint Venture Company ""ONGC NTPC GREEN PRIVATE LIMITED"".",BSE,Announcement under Regulation 30 (LODR)-Acquisition
2024-11-20,Transcript of Analyst/ Investor Meet,BSE,Announcement under Regulation 30 (LODR)-Earnings Call Transcript
2024-11-29,"ONGC Videsh Limited acquires 0.615% Stake in ACG and 0.737% Stake in BTC, Azerbaijan",BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-12-01,Change in Senior Management,BSE,Change In Senior Management
2024-12-03,Investment in ONGC Petro additions Limited (OPaL),BSE,Announcement under Regulation 30 (LODR)-Acquisition
2024-12-14,Clarification regarding the likely public listing of ONGC Green Limited,BSE,Rumour verification - Regulation 30(11)
2024-12-27,"Completion of tenure of Dr. Prabhaskar Rai, Independent Director",BSE,Announcement under Regulation 30 (LODR)-Cessation
