date,headline,source,summary
2024-05-13,Press Release regarding Trading cum clearing Member of IIBX,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-05-15,Newspaper publication for Dividend,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-05-15,Details of loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-05-15,Group meeting organised by Elara Capita,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-05-16,Transcript of Analyst Meet dated 09.05.2024,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-05-16,Secretarial Compliance Report for the year ended 31.03.2024,BSE,Compliances-Reg.24(A)-Annual Secretarial Compliance
2024-05-17,Acquisition of stake in CCIL IFSC Limited,BSE,Announcement under Regulation 30 (LODR)-Acquisition
2024-05-17,Investor Interaction arranged by BofA Securities,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-05-18,Loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-05-18,Newspaper publication,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-05-20,69th Annual General Meeting scheduled to be held on 19th June 2024,BSE,Annual General Meeting: 19Th June 2024
2024-05-21,Investor interaction organized by Elara Capital,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-05-21,Notice of AGM,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-05-24,Monetary Penalty Order,BSE,Penalty Order :South African Reserve Bank Prudential Authority
2024-05-24,Loss of Share Certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-05-27,Annual Report for the year 2023-24,BSE,Reg. 34 (1) Annual Report.
2024-05-27,Organised by HSBC,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-05-27,Business Responsibility and Sustainability Report for FY 2023-24,BSE,Business Responsibility and Sustainability Reporting (BRSR)
2024-05-28,Change in Senior Management,BSE,Announcement Under Regulation 30 Of SEBI LODR- Change In Senior Management
2024-05-28,Dispatch of Annual Report for FY 2023-24 and Notice of 69th AGM,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-05-29,Rating by S&P Global Ratings,BSE,Announcement under Regulation 30 (LODR)-Credit Rating
2024-05-31,Call option notice sent to bondholders,BSE,Call Option Notice Sent To Bondholders
2024-05-31,Investor Interaction by HSBC,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-05-31,Change in Senior Management,BSE,Announcement Under Regulation 30 Of SEBI (LODR) - Change In Senior Management
2024-06-01,Details of loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-06-03,Loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-06-03,Details of loss / duplicate share certificate,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-06-04,"STATE BANK OF INDIAhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 11/06/2024 ,inter alia, to consider and approve long term fund raising in single ....",BSE,Board Meeting Intimation for Long Term Fund Raising Upto US$ 3 Billion
2024-06-11,Long term fund raising in single / multiple tranches of upto US$ 3 billion,BSE,Board Meeting Outcome for Long Term Fund Raising Of Upto US$ 3 Billion
2024-06-12,"STATE BANK OF INDIAhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 19/06/2024 ,inter alia, to consider and approve To seek approval for raising ....",BSE,Board Meeting Intimation for To Seek Approval For Raising Of Long Term Bonds
2024-06-14,Loss of share certificate,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-06-14,Details of loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-06-14,Issuance of USD 100 Mio senior unsecured floating rate notes,BSE,Issuance Of USD 100 Mio Senior Unsecured Floating Rate Notes
2024-06-19,Raising of long term bonds,BSE,Board Meeting Outcome for Raising Of Long Term Bonds
2024-06-19,Proceedings of AGM and Scrutinizer''s Report,BSE,Shareholder Meeting / Postal Ballot-Scrutinizer''s Report
2024-06-20,Loss of Share Certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-06-22,Rating by ICRA,BSE,Announcement under Regulation 30 (LODR)-Credit Rating
2024-06-22,Rating by India Ratings,BSE,Announcement under Regulation 30 (LODR)-Credit Rating
2024-06-24,69th AGM dated 19th June 2024,BSE,69Th Annual General Meeting
2024-06-25,Loss of Share Certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-06-26,Newspaper publication of loss of share certificate,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-06-26,Bank''s Senior Unsecured Long Term Bond issuance,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-06-26,Issuance of long term bonds,BSE,Update On Bidding
2024-06-26,Details of loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-06-26,Senior Unsecured Long Term Bond Issuance,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release (Revised)
2024-06-27,Newspaper publication of loss of share certificate,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-06-27,Allotment of long term bonds,BSE,Announcement under Regulation 30 (LODR)-Allotment
2024-06-27,Loss of Share Certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-06-28,Intimation of closure of trading window,BSE,Closure of Trading Window
2024-06-29,Change in Senior Management,BSE,Change In Senior Management
2024-06-29,Superannuation of the Managing Director Shri Alok Kumar Choudhary,BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2024-07-04,Details of loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-07-05,Change in RTA,BSE,Announcement under Regulation 30 (LODR)-Change in RTA
2024-07-06,Rating by CRISIL and CARE,BSE,Announcement under Regulation 30 (LODR)-Credit Rating
2024-07-08,Change in RTA,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-07-08,Certificate under Reg. 74 (5),BSE,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
2024-07-10,Press Release,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-07-10,BIDDING UPDATES,BSE,UPDATES
